T_experiment;T_loop;received;sent;lost;relative_loss;data_received;latency_min (ms);latency_max (ms);latency_mean (ms);latency_variance (ms);pub_loop_res_min (ms);pub_loop_res_max (ms);pub_loop_res_mean (ms);pub_loop_res_variance (ms);sub_loop_res_min (ms);sub_loop_res_max (ms);sub_loop_res_mean (ms);sub_loop_res_variance (ms);ru_utime;ru_stime;ru_maxrss;ru_ixrss;ru_idrss;ru_isrss;ru_minflt;ru_majflt;ru_nswap;ru_inblock;ru_oublock;ru_msgsnd;ru_msgrcv;ru_nsignals;ru_nvcsw;ru_nivcsw;cpu_usage (%)
1.000.091;1.000.089;993;994;22;0.02;1033359;0.04231;8.017;0.1351;0.0002682;-3.529;0.9616;0.8137;0.0001071;0;0;0;0;0.0494;0.09881;35216;0;0;0;6299;0;0;0;8;0;0;0;3172;99;-0.007122
2.000.371;1.000.148;999;999;0;0.00;1039708;0.04586;4.878;0.1188;0.0001334;-6.017;0.9681;0.8267;0.0001345;0;0;0;0;0.0853;0.1706;35216;0;0;0;6301;0;0;0;8;0;0;0;6144;117;5.998
3.000.641;1.000.180;1000;1000;0;0.00;1040759;0.03841;2.939;0.07546;1,08E-02;-2.476;0.9625;0.8355;4,05E-02;0;0;0;0;0.1219;0.2439;35216;0;0;0;6301;0;0;0;8;0;0;0;9145;142;5.499
4.000.866;1.000.128;999;999;0;0.00;1039765;0.03954;5.961;0.1196;0.0001508;-2.784;0.9608;0.8433;2,58E-02;0;0;0;0;0.1465;0.3295;35216;0;0;0;6301;0;0;0;8;0;0;0;12143;178;4.999
5.001.100;1.000.133;999;999;0;0.00;1039756;0.04075;6.039;0.1056;0.000105;-0.6928;0.9529;0.851;3,18E-03;0;0;0;0;0.1798;0.4043;35216;0;0;0;6301;0;0;0;8;0;0;0;15141;206;5.499
6.001.327;1.000.130;999;999;0;0.00;1039764;0.04126;6.896;0.1558;0.0003262;-2.016;0.9644;0.8487;1,32E-02;0;0;0;0;0.2127;0.4785;35216;0;0;0;6301;0;0;0;8;0;0;0;18125;228;5.499
7.001.505;1.000.087;999;1000;0;0.00;1039814;0.04473;4.429;0.1034;8,66E-02;-3.179;0.9593;0.8331;6,11E-02;0;0;0;0;0.2464;0.5542;35216;0;0;0;6301;0;0;0;8;0;0;0;21123;251;5.499
8.001.740;1.000.133;1000;999;0;0.00;1040794;0.04046;4.868;0.1322;0.000144;-2.39;0.9609;0.8349;3,29E-02;0;0;0;0;0.2796;0.6289;35216;0;0;0;6301;0;0;0;8;0;0;0;24094;274;4.999
9.001.992;1.000.155;999;999;0;0.00;1039738;0.04275;6.797;0.149;0.000267;-2.237;0.9888;0.8373;3,12E-02;0;0;0;0;0.3138;0.7058;35216;0;0;0;6301;0;0;0;8;0;0;0;27074;310;5.998
10.002.212;1.000.127;999;999;0;0.00;1039771;0.03759;4.861;0.09669;6,84E-02;-2.059;0.9541;0.8488;1,34E-02;0;0;0;0;0.4034;0.7267;35216;0;0;0;6301;0;0;0;8;0;0;0;30088;344;5.499
